    i start_time  S a2 objective_value    violation time_of_incident     mi2 final_objective           feasible_better S_Objective
 1558       7791  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1560       7801  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1563       7816  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1564       7821  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1567       7836  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1568       7841  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1569       7846  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 1572       7861  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1573       7866  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1574       7871  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1575       7876  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1578       7891  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1579       7896  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1580       7901  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1581       7906  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1582       7911  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1583       7916  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1584       7921  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1591       7956  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1592       7961  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1594       7971  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1595       7976  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1599       7996  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1603       8016  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1605       8026  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1606       8031  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1608       8041  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1609       8046  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1610       8051  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1612       8061  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1613       8066  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1619       8096  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1620       8101  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1623       8116  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1624       8121  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1627       8136  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1628       8141  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1629       8146  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1633       8166  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1634       8171  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1636       8181  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1640       8201  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1642       8211  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1643       8216  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1648       8241  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1649       8246  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1650       8251  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1652       8261  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 1654       8271  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1656       8281  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1659       8296  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1660       8301  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1662       8311  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 1663       8316  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1664       8321  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1666       8331  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1667       8336  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1671       8356  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 1672       8361  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1673       8366  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1675       8376  2  -               0     Exceeded            18876 1920162               0                Infeasible       47089
 1710       8551  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 1721       8606  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 1727       8636  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 1729       8646  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 1737       8686  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 1756       8781  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 1759       8796  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 1765       8826  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 1775       8876  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 1776       8881  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 1782       8911  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 1810       9051  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 1827       9136  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 1830       9151  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 1834       9171  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 1839       9196  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 1849       9246  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 1854       9271  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 1872       9361  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 1873       9366  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 1880       9401  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 1888       9441  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 1894       9471  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 1896       9481  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 1897       9486  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 1900       9501  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 1902       9511  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 1903       9516  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 1904       9521  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 1905       9526  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 1964       9821  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 1966       9831  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 1972       9861  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 1973       9866  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 1974       9871  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 1976       9881  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 1977       9886  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 1978       9891  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 1982       9911  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 2117      10586  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 2119      10596  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 2124      10621  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 2128      10641  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 2129      10646  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 2130      10651  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
 2132      10661  0  -           33180 Not_exceeded            86386 1562258           47089 Feasible_better_objective       47089
