 0:06:04.846 00:39:46.906  2022.06 Penumbra Shade
 2:19:56.691 02:20:49.703   53.012           Land
 2:19:59.473 02:20:25.926   26.453           Land
 2:20:00.306 02:20:22.504   22.198           Land
 2:20:01.812 02:20:33.740   31.927           Land
 2:20:06.159 02:20:28.375   22.216           Land
 2:20:09.318 02:20:31.910   22.592           Land
 2:20:23.054 02:20:53.834   30.779           Land
 2:20:27.716 02:20:59.909   32.193           Land
 2:21:01.429  2:25:23.523  262.094 Process_images
 2:25:25.043 02:25:46.832   21.789           Land
 2:25:46.366 02:26:09.119   22.753           Land
 2:26:05.441 02:26:37.258   31.817           Land
 2:26:51.720 02:34:11.811  440.092           Land
 2:33:29.696 02:36:48.973  199.277           Land
 2:35:41.795 02:37:20.195     98.4           Land
 2:36:54.210 02:37:18.678   24.468           Land
 2:36:54.665 02:37:34.222   39.556           Land
 2:38:39.914 02:40:24.593  104.679           Land
 2:38:46.889 02:39:10.073   23.184           Land
 2:39:06.562 02:39:28.953   22.391           Land
 2:39:10.188 02:39:33.747   23.559           Land
 2:39:15.790 02:39:38.536   22.746           Land
 2:39:43.761 02:40:07.192   23.431           Land
 2:40:30.564 02:41:47.998   77.434           Land
 2:42:06.960 02:42:11.266    4.306           Land
 2:42:20.010 02:43:46.519   86.508           Land
 2:44:21.598 02:45:38.428   76.831           Land
 2:45:17.434 02:45:40.573   23.139           Land
 2:45:22.173 02:45:47.401   25.228           Land
 2:45:33.616 02:45:58.694   25.078           Land
 2:45:34.159 02:45:57.927   23.768           Land
 2:45:39.538 02:47:37.475  117.937           Land
 2:45:42.649 02:46:05.655   23.006           Land
 2:46:22.393 02:49:08.872  166.479           Land
 2:46:22.748 02:46:45.064   22.316           Land
 2:46:23.885 02:46:45.785   21.901           Land
 2:46:24.863 02:46:48.243    23.38           Land
 2:46:24.977 02:46:48.525   23.548           Land
 2:46:34.793 02:46:57.319   22.526           Land
 2:46:36.486 02:46:59.411   22.926           Land
