353 53782918 53782918       0 1
354 53782918 53782918       0 1
355 53782918 53785566    2648 1
356 53785566 53808604   23038 1
357 53808604 53811015    2411 1
358 53811015 53811015       0 1
359 53811015 53811015       0 1
360 53811015 53813482    2467 1
361 53813482 53813483       1 1
362 53813483 53813483       0 1
363 53813483 53828646   15163 1
364 53835806 53851334   15528 1
365 53851334 53854799    3465 1
366 53854799 53861925    7126 1
367 53861925 53870188    8263 1
368 53870188 53871143     955 1
369 53871143 53893378   22235 1
370 53893378 53893378       0 1
371 53893378 53900445    7067 1
372 53957874 53975431   17557 1
373 53975431 53999681   24250 1
374 53999681 54007044    7363 1
375 54007044 54008724    1680 1
376 54008724 54008724       0 1
377 54008724 54008724       0 1
378 54008724 54008724       0 1
379 54008724 54008724       0 1
380 54008724 54008724       0 1
381 54008724 54008724       0 1
382 54008724 54008724       0 1
383 54008724 54019471   10747 1
384 54019471 54019471       0 1
385 54019471 54024516    5045 1
386 54024516 54024516       0 1
387 54024516 54024516       0 1
388 54024516 54024516       0 1
389 54024516 54034801   10285 1
390 54034801 54042634    7833 1
391 54044154 54271037  226883 2
392 54272557 54272918     361 1
393 54272918 54276845    3927 1
394 54276845 54292893   16048 1
395 54292893 54315387   22494 1
396 54315387 54316390    1003 1
397 54316390 54331265   14875 1
398 54332785 54439110  106325 2
399 54440630 54442950    2320 1
400 54442950 54466916   23966 1
401 54466916 54482862   15946 1
402 54496467 54567694   71227 1
403 54567694 54567695       1 1
404 54568933 54576899    7966 1
405 54576899 54589429   12530 1
406 54589429 54598686    9257 1
407 54598686 54624168   25482 1
408 54624168 54624169       1 1
409 54625689 54823496  197807 2
410 54825016 54848021   23005 1
411 54849541 55043580  194039 2
412 55045100 55066302   21202 1
413 55066302 55088155   21853 1
414 55160275 55161930    1655 1
415 55161930 55167174    5244 1
416 55167174 55167174       0 1
417 55167174 55277409  110235 1
418 55277409 55383676  106267 1
419 55383676 55526208  142532 1
420 55526208 55526209       1 1
421 55527729 56603143 1075414 2
422 56604663 56628919   24256 1
423 56628919 56628919       0 1
424 56628919 56654518   25599 1
425 56674110 56677359    3249 1
426 56677359 56700984   23625 1
427 56702504 56946516  244012 2
428 56948036 57290098  342062 1
429 57291618 57733181  441563 2
430 58193683 58215638   21955 2
431 58217158 58508771  291613 2
432 58510291 58518930    8639 2
433 58518930 58529534   10604 2
434 58529534 58552864   23330 2
